6.7240e-02,0.0000e+00,3.2400e+00,0.0000e+00,4.6000e-01,6.3330e+00,1.7200e+01,5.2146e+00,4.0000e+00,4.3000e+02,1.6900e+01,3.7521e+02,7.3400e+00,2.2600e+01
9.2323e+00,0.0000e+00,1.8100e+01,0.0000e+00,6.3100e-01,6.2160e+00,1.0000e+02,1.1691e+00,2.4000e+01,6.6600e+02,2.0200e+01,3.6615e+02,9.5300e+00,5.0000e+01
1.1425e-01,0.0000e+00,1.3890e+01,1.0000e+00,5.5000e-01,6.3730e+00,9.2400e+01,3.3633e+00,5.0000e+00,2.7600e+02,1.6400e+01,3.9374e+02,1.0500e+01,2.3000e+01
2.4802e+01,0.0000e+00,1.8100e+01,0.0000e+00,6.9300e-01,5.3490e+00,9.6000e+01,1.7028e+00,2.4000e+01,6.6600e+02,2.0200e+01,3.9690e+02,1.9770e+01,8.3000e+00
5.6460e-02,0.0000e+00,1.2830e+01,0.0000e+00,4.3700e-01,6.2320e+00,5.3700e+01,5.0141e+00,5.0000e+00,3.9800e+02,1.8700e+01,3.8640e+02,1.2340e+01,2.1200e+01
6.2739e-01,0.0000e+00,8.1400e+00,0.0000e+00,5.3800e-01,5.8340e+00,5.6500e+01,4.4986e+00,4.0000e+00,3.0700e+02,2.1000e+01,3.9562e+02,8.4700e+00,1.9900e+01
4.8357e+00,0.0000e+00,1.8100e+01,0.0000e+00,5.8300e-01,5.9050e+00,5.3200e+01,3.1523e+00,2.4000e+01,6.6600e+02,2.0200e+01,3.8822e+02,1.1450e+01,2.0600e+01
6.1510e-02,0.0000e+00,5.1900e+00,0.0000e+00,5.1500e-01,5.9680e+00,5.8500e+01,4.8122e+00,5.0000e+00,2.2400e+02,2.0200e+01,3.9690e+02,9.2900e+00,1.8700e+01
2.6355e+00,0.0000e+00,9.9000e+00,0.0000e+00,5.4400e-01,4.9730e+00,3.7800e+01,2.5194e+00,4.0000e+00,3.0400e+02,1.8400e+01,3.5045e+02,1.2640e+01,1.6100e+01
2.2876e-01,0.0000e+00,8.5600e+00,0.0000e+00,5.2000e-01,6.4050e+00,8.5400e+01,2.7147e+00,5.0000e+00,3.8400e+02,2.0900e+01,7.0800e+01,1.0630e+01,1.8600e+01
